units that have a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
what was the total number of assist for e0 over a season where he had three rebounds	SW.getProperty ( SW.filter string-player  string-num_rebounds string-= number3 rebound ) string-num_assists
player with more than 3 rebounds over a season	SW.filter var-s SW.ensureNumericProperty string-num_rebounds  string-> ( SW.ensureNumericEntity number3 rebound ) ( SW.domain string-player ) ) string-player
which player had more fouls than e0	SW.filter var-s SW.ensureNumericProperty string-num_fouls  string-> ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_fouls ) ) ( SW.domain string-player ) ) string-player
which players played in the same season as e0	SW.filter var-s string-season string-= ( SW.getProperty string-player  string-season ) ( SW.domain string-player ) ) string-player
what players number of games played allseason equaled no less than e0	SW.filter var-s SW.ensureNumericProperty string-num_games_played  string->= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_games_played ) ) ( SW.domain string-player ) ) string-player
what player had the fewest turnovers this season	SW.superlative var-s string-min SW.ensureNumericProperty string-num_turnovers  ( SW.domain string-player ) ) string-player
what player did not have 3 steals	SW.filter var-s string-num_steals string-!= number3 steal ( SW.domain string-player ) ) string-player
how many blocks in a season did e0 have	SW.getProperty string-player  string-num_blocks
how many players acquired less or more that 3 turnovers	SW.filter var-s string-num_turnovers string-!= number3 turnover ( SW.domain string-player ) ) string-player
which played has played on the most teams	SW.countSuperlative var-s string-max string-team ( SW.domain string-player ) ) string-player
what seasons did e0 play e1	SW.getProperty ( SW.filter string-player  string-position string-= e1 ) string-season
how many turnovers did e0 have when he made three assists	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-num_turnovers
whos got the record for most rebounds in a season	SW.superlative var-s string-max SW.ensureNumericProperty string-num_rebounds  ( SW.domain string-player ) ) string-player
which player has had the most  turnovers in any one season	SW.superlative var-s string-max SW.ensureNumericProperty string-num_turnovers  ( SW.domain string-player ) ) string-player
who has the least fouls	SW.superlative var-s string-min SW.ensureNumericProperty string-num_fouls  ( SW.domain string-player ) ) string-player
how many all season steals did e0 have	SW.getProperty string-player  string-num_steals
players with more than 2 rebounds	SW.filter var-s SW.ensureNumericProperty string-num_rebounds  string->= ( SW.ensureNumericEntity number3 rebound ) ( SW.domain string-player ) ) string-player
find the player with the highest number of blocks to his credit in any one season	SW.superlative var-s string-max SW.ensureNumericProperty string-num_blocks  ( SW.domain string-player ) ) string-player
player with at most 3 turnovers over a season	SW.filter var-s SW.ensureNumericProperty string-num_turnovers  string-<= ( SW.ensureNumericEntity number3 turnover ) ( SW.domain string-player ) ) string-player
how many rebounds has e0 had	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-num_rebounds
which player has a minimum of three steals	SW.filter var-s SW.ensureNumericProperty string-num_steals  string->= ( SW.ensureNumericEntity number3 steal ) ( SW.domain string-player ) ) string-player
player e0 number of rebounds over a season	SW.getProperty string-player  string-num_rebounds
which player has played in the fewest games in a season	SW.superlative var-s string-min SW.ensureNumericProperty string-num_games_played  ( SW.domain string-player ) ) string-player
are there players who have scored a total number of points in one season  larger than the total number of points scored in the same seaon by e0	SW.filter var-s SW.ensureNumericProperty string-num_points  string-> ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_points ) ) ( SW.domain string-player ) ) string-player
what player had less than 3 blocks allseason	SW.filter var-s SW.ensureNumericProperty string-num_blocks  string-< ( SW.ensureNumericEntity number3 block ) ( SW.domain string-player ) ) string-player
how many players have less than 3 steals on them in a season	SW.filter var-s SW.ensureNumericProperty string-num_steals  string-< ( SW.ensureNumericEntity number3 steal ) ( SW.domain string-player ) ) string-player
who made the most turnovers over all seasons	SW.superlative var-s string-max SW.ensureNumericProperty string-num_turnovers  ( SW.domain string-player ) ) string-player
how many fouls were played by e0 when he scored 3 points	SW.getProperty ( SW.filter string-player  string-num_points string-= number3 point ) string-num_fouls
name a player with no more points per season than e0	SW.filter var-s SW.ensureNumericProperty string-num_points  string-<= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_points ) ) ( SW.domain string-player ) ) string-player
what players had the same or more steals e0 over the season	SW.filter var-s SW.ensureNumericProperty string-num_steals  string->= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_steals ) ) ( SW.domain string-player ) ) string-player
who has had more than 3 turnovers	SW.filter var-s SW.ensureNumericProperty string-num_turnovers  string-> ( SW.ensureNumericEntity number3 turnover ) ( SW.domain string-player ) ) string-player
players with a total number of rebounds in a season no greater than three	SW.filter var-s SW.ensureNumericProperty string-num_rebounds  string-<= ( SW.ensureNumericEntity number3 rebound ) ( SW.domain string-player ) ) string-player
what seasons did e0 have only three blocks	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-season
which players have at least 3 turnovers in a season	SW.filter var-s SW.ensureNumericProperty string-num_turnovers  string->= ( SW.ensureNumericEntity number3 turnover ) ( SW.domain string-player ) ) string-player
who did e0 play for when he had 3 all season rebounds	SW.getProperty ( SW.filter string-player  string-num_rebounds string-= number3 rebound ) string-team
how many steals did e0 have during the season when averaging three assists	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-num_steals
players that scored the same or fewer points than e0 during the season	SW.filter var-s SW.ensureNumericProperty string-num_points  string-<= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_points ) ) ( SW.domain string-player ) ) string-player
how many points did e0 e1 score	SW.getProperty ( SW.filter SW.getProperty e1 SW.reverse string-player  string-team string-= e0 ) string-num_points
players that have fewer fouls over a season than that of e0	SW.filter var-s SW.ensureNumericProperty string-num_fouls  string-< ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_fouls ) ) ( SW.domain string-player ) ) string-player
what players scored at least three points over a season	SW.filter var-s SW.ensureNumericProperty string-num_points  string->= ( SW.ensureNumericEntity number3 point ) ( SW.domain string-player ) ) string-player
what players made less than three assists over a season	SW.filter var-s SW.ensureNumericProperty string-num_assists  string-< ( SW.ensureNumericEntity number3 assist ) ( SW.domain string-player ) ) string-player
how many games did e0 play who had turnovers	SW.getProperty ( SW.filter string-player  string-num_turnovers string-= number3 turnover ) string-num_games_played
which player tied e0 highest seasonal point score in a single season	SW.filter var-s SW.ensureNumericProperty string-num_points  string-<= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_points ) ) ( SW.domain string-player ) ) string-player
which players have been on two or less teams	SW.countComparative var-s string-team string-<= number2 ( SW.domain string-player ) ) string-player
what players made more than 3 fouls over a season	SW.filter var-s SW.ensureNumericProperty string-num_fouls  string-> ( SW.ensureNumericEntity number3 foul ) ( SW.domain string-player ) ) string-player
players that did no play in d0	SW.filter var-s string-season string-!= d0 ( SW.domain string-player ) ) string-player
what players have had 3 or more rebounds	SW.filter var-s SW.ensureNumericProperty string-num_rebounds  string->= ( SW.ensureNumericEntity number3 rebound ) ( SW.domain string-player ) ) string-player
number of blocks over a season of player e0 who has 3 fouls over a season	SW.getProperty ( SW.filter string-player  string-num_fouls string-= number3 foul ) string-num_blocks
